iter	Passed	Remaining
0	21	2108
1	32	1590
2	39	1263
3	46	1121
4	52	988
5	61	958
6	66	885
7	74	859
8	81	821
9	93	839
10	101	823
11	103	751112	107	718113	118	726
13	171	1052114	182	1031615	193	1015
16	201	983
17	215	980
18	225	961
19	231	926
20	239	900
21	240	823	200	636
24	202	606
25	208	593
26	219	593
27	227	585
28	234	574
29	243	568
30	248	552
31	258	550
32	263	535
33	269	523
34	274	509
35	282	502
36	296	505
37	310	506
38	314	492
39	318	478
40	319	460
41	327	452
42	335	445
43	342	436
44	352	430
45	359	422
46	363	409
47	374	405
48	378	394
49	390	390
50	392	376
51	393	363
52	51	441	407
52	450	354	53	458	355	54	462	356	55	473	372
56	480	362
57	489	354
58	497	345
59	506	337
60	511	326
61	516	316
62	523	307
63	528	297
64	537	289
65	541	278
66	542	267
67	543	255
68	550	247
69	557	238
70	568	232
71	579	225
72	590	218
73	594	208
74	595	198
75	610	192
76	620	185
77	626	176
78	627	166
79	639	159
80	644	151
81	647	148482	653	138583	664	1286	638	95
87	639	87
88	686	68089	6587	6890	6588	686	84
89	708	78
90	718	71
91	720	62
92	721	54
93	722	46
94	723	38
95	724	30
96	798	688	6
99	694	0
	727	7
99	728	0
