Model,MSE,MAE,RMSE,R2
Linear Regression,7.6014718956586265,2.3324056169377525,2.7570766938296485,0.10540397363116516
Explainable Boosting Regressor,7.6735478569939115,2.35320167875076,2.7701169392272798,0.09692155476646025
Random Forest Regressor,7.929435,2.38734,2.8159252475873715,0.0668069105930259
Gaussian Process Regressor,8.098141015081573,2.4563348855669664,2.845723285051021,0.04695237021082799
CatBoost Regressor,8.1584008505535,2.4144825820680094,2.856291450561987,0.03986055824298884
Support Vector Regressor,8.19449966038945,2.384010337869494,2.8626036505931887,0.035612189995474886
K-Nearest Neighbor Regressor,8.426400000000001,2.4055999999999997,2.9028262090590267,0.008320485812806644
XGBoost Regressor,9.614500999450684,2.5790247917175293,3.100725882668554,-0.13150382041931152
Decision Tree Regressor,15.906,3.242,3.988232691305762,-0.8719327770651162
